EXP 1														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
13	3721.57	1.23789	3.44028	1.24543	0.77123	0.75112	0.81698	0.59858	1.01525	2.86645	1.38583	0.000905463	0.000905463	0.000905463
14	4015.15	1.20575	3.31937	1.23522	0.81112	0.69159	0.82408	0.57881	1.17193	3.43905	1.53573	0.000889687	0.000889687	0.000889687
15	4300.18	1.2029	3.25337	1.22895	0.7738	0.77302	0.85041	0.60512	1.17998	2.78656	1.56815	0.000872857	0.000872857	0.000872857
16	4586.59	1.18375	3.19312	1.21779	0.84654	0.73163	0.85906	0.62976	1.05413	2.75698	1.41953	0.000855018	0.000855018	0.000855018
17	4876.04	1.16766	3.07529	1.20636	0.78291	0.82448	0.87096	0.62712	1.14011	2.59987	1.52868	0.00083622	0.00083622	0.00083622
18	5162.11	1.17622	3.07256	1.20665	0.78106	0.80495	0.876	0.6707	0.95658	2.8296	1.34536	0.000816514	0.000816514	0.000816514
19	5450.3	1.13745	2.93295	1.20045	0.87113	0.7996	0.89627	0.69057	0.94598	2.3515	1.35496	0.000795954	0.000795954	0.000795954
20	5737.63	1.13805	2.93746	1.19705	0.83367	0.7609	0.88549	0.66364	0.99107	2.36128	1.41613	0.000774596	0.000774596	0.000774596
21	6023.41	1.12188	2.87983	1.18709	0.83076	0.77983	0.8912	0.67085	1.02649	2.44797	1.40996	0.0007525	0.0007525	0.0007525
22	6309.01	1.11886	2.83482	1.1865	0.82583	0.83389	0.89071	0.66898	1.01596	2.44637	1.38825	0.000729725	0.000729725	0.000729725
23	6594.7	1.09603	2.77381	1.17675	0.82013	0.82637	0.89428	0.67936	0.92586	2.32442	1.33349	0.000706335	0.000706335	0.000706335
24	6880.35	1.0758	2.67938	1.16265	0.83478	0.86064	0.90459	0.69963	0.93747	2.19217	1.34179	0.000682392	0.000682392	0.000682392
25	7167.12	1.0731	2.70667	1.1659	0.82366	0.85151	0.89004	0.67754	0.94257	2.22685	1.31721	0.000657963	0.000657963	0.000657963
26	7453.48	1.05195	2.60542	1.15026	0.82657	0.83229	0.91164	0.70557	0.90377	2.28801	1.31351	0.000633115	0.000633115	0.000633115
27	7742.92	1.04618	2.58352	1.14042	0.81647	0.8767	0.91746	0.70506	0.92559	2.01458	1.31909	0.000607916	0.000607916	0.000607916
28	8027.71	1.03492	2.52137	1.13502	0.82311	0.84857	0.90432	0.71339	0.90304	2.13814	1.29466	0.000582435	0.000582435	0.000582435
29	8314.97	1.021	2.47285	1.12748	0.88525	0.83481	0.92129	0.70526	0.95444	1.95028	1.3249	0.000556742	0.000556742	0.000556742
30	8600.88	1.01289	2.4197	1.12691	0.85625	0.86497	0.91309	0.72361	0.87531	1.84973	1.26893	0.000530906	0.000530906	0.000530906
31	8890.67	1.01084	2.4075	1.13161	0.8714	0.84374	0.91278	0.73112	0.84257	1.93249	1.26106	0.000505	0.000505	0.000505
32	9175.53	0.97874	2.35327	1.11184	0.87172	0.8677	0.91305	0.73701	0.81836	1.90112	1.21685	0.000479094	0.000479094	0.000479094
33	9465.45	0.97258	2.31197	1.11004	0.85161	0.87118	0.91041	0.72719	0.85313	1.82899	1.25526	0.000453258	0.000453258	0.000453258
34	9751.31	0.97283	2.25383	1.10928	0.86651	0.87744	0.91795	0.75562	0.74624	1.6964	1.1811	0.000427565	0.000427565	0.000427565
35	10040	0.96465	2.24445	1.1028	0.81211	0.87237	0.92303	0.74349	0.82284	1.84233	1.22738	0.000402084	0.000402084	0.000402084
